kreisid,kreisidnum,Wahlberech,Wähler,Gültige S,SPD,CDU,GRÜNE,DIE LINKE,PIRATEN,FDP,AfD,area,perimeter,xcentroid,ycentroid,charea,xmin,xmax,ymin,ymax
0101,101,28221,20226,20003,4334,3279,5975,2886,454,1733,1342,15323309.97559,23659.85716,1489955.8215848200,6896352.0566187603,19731483.4990400001,1486946.3289160277,1492610.6934495931,6894006.1365750823,6898432.9738938790
0102,102,32219,21959,21641,5162,3037,2944,6030,430,1218,2597,15943813.51172,22842.51421,1492360.7418482143,6893874.3857877413,21041852.8486814164,1489051.4629923990,1494954.2092007305,6891780.1214142516,6896495.1194102094
0103,103,30033,20181,19920,5234,3147,5224,2088,374,1417,1754,22707420.82715,27365.89248,1486382.0609379776,6893802.0393775627,29014971.7431842424,1482035.7709460310,1489193.0957609364,6890810.6775850123,6896610.9787066039
0104,104,29869,18681,18393,4353,2179,4453,3514,527,796,1544,14112296.30371,21839.29142,1485089.3101675436,6897484.2976970710,17591095.8899914585,1481819.7325842746,1487693.9235202528,6895713.6756437272,6900272.5606266437
0105,105,29414,17256,16838,4404,2683,3362,2258,507,815,2400,19084636.72656,22552.97634,1484749.2850583834,6900895.1371553941,22608337.7796264403,1480719.5524141532,1489129.1356960663,6898559.6963569401,6902837.0106303878
0106,106,27576,14513,14247,3565,1486,3487,2728,685,565,1453,8941254.31543,14573.26644,1489785.6134584434,6901235.0298830234,11281917.0125255212,1487454.9563725891,1491466.0546631250,6899176.9783427995,6903437.5089539280
0201,201,34398,24703,24234,4774,1896,10672,3970,693,971,0,12331860.90723,25443.80392,1491052.9547151232,6889591.7418261254,18068143.8355097659,1488142.9240518420,1494509.9045256278,6887891.6811721399,6891803.0705657974
0202,202,34172,23960,23665,4185,1687,7894,5310,1001,678,1258,13296015.62793,27293.36748,1497832.7366403835,6890821.1609309232,25488084.6086483076,1493223.8639875820,1501861.7365478103,6888490.4778862083,6893287.6056590229
0203,203,32284,18905,18531,4174,1717,5803,3068,505,591,1259,11278529.91309,23391.74714,1492262.4946588781,6891416.2156547308,17582597.5755941719,1488858.0426471552,1496707.8981229346,6889282.5990558537,6892757.3174379934
0204,204,34960,24055,23717,4907,2227,4858,6697,755,817,2578,12599354.27539,17679.53774,1496004.3384734869,6894192.5778970914,14616926.4623717126,1493880.1106934454,1497695.6675287259,6891266.6348659210,6896717.0514016869
0205,205,35094,25399,25061,4044,1804,8528,5044,1063,790,1352,5453528.54883,14864.77749,1498598.6227815193,6893841.9631183799,8757559.1661053374,1496857.0260774340,1500336.0301711527,6892407.3187521109,6896126.1050712559
0301,301,35104,23502,23045,4885,4617,1637,4425,361,869,5155,92477991.17578,64238.96112,1499326.6729723732,6914653.1305145761,123821455.4201129526,1493014.7660572389,1505376.0737332092,6907039.8363290122,6923199.7132021962
0302,302,32812,23396,22996,5367,4566,2588,4118,343,1057,4358,68130527.13867,51567.62056,1491230.9138556712,6911153.7850948796,89264890.5353767574,1485843.2565802969,1496282.2979394777,6904222.4779524868,6918205.0286069475
0303,303,32854,23351,23020,5708,2699,4065,5190,473,731,3072,18386842.68164,22378.23064,1493053.2625686342,6905207.8990996545,22590594.1637303382,1489797.9194885220,1495711.3649612900,6901703.7724213777,6908937.3413807098
